募集状況,主催,イベント名,募集開始,締め切り,タグ,リンク,対象者,作成日時,最終更新日時,内容 / 必要な経験 (簡潔に!),場所,実施時期 / 待遇,技術スタック,選考フロー
募集中,GMOインターネットグループ株式会社,GMO │ テクノロジーインターンシップ：ブロックチェーンコース,2024/04/19,2024/06/30,インターン,https://recruit.gmo.jp/engineer/jisedai/internship/,,2024年6月29日 11:07,2024年6月29日 11:07,"ブロックチェーンコース
GMOインターネットグループが発行するステーブルコインGYENを活用したアプリケーションの開発、またはブロックチェーンのスケーラビリティ課題に対するソリューションや分散型金融（DeFi）のリサーチ・検証を行います。
ブロックチェーンのトレンドを理解し、技術的な課題をどのように解決していくか、どのようにビジネスに活かしていくかを現場のエンジニアのサポートを受けて体験することができます。

勤務場所
東京オフィス：東京都渋谷区桜丘町26番1号 セルリアンタワー ※JR渋谷駅から3分
大阪オフィス：大阪府大阪市北区大深町3番1号 グランフロント大阪タワーB 23階 ※JR大阪駅直結

前年実績
https://developers.gmo.jp/38008/","大阪, 東京, 梅田駅, 渋谷","2024年 8月26日(月)〜9月6日(金)

時給 1,500円、交通費支給、社内カフェが無料で利用可",ブロックチェーン,書類選考＞Zoom面談＞内定
募集中,GMOインターネットグループ株式会社,GMO │ テクノロジーインターンシップ：MLエンジニアリングコース,2024/04/19,2024/06/30,インターン,https://recruit.gmo.jp/engineer/jisedai/internship/,,2024年6月29日 11:07,2024年6月29日 11:07,"MLエンジニアリングコース 【新設】
LLMなどのAIをアプリケーションに組み込み機械学習エンジニアリングをチームで実現してもらいます。本コースではデータサイエンスコースと違いモデル構築は行わずアプリケーション組み込みを中心としたカリキュラムとなります。
本カリキュラムではエンジニアがチューターとなり、MLエンジニアリングのプロセスが体験できます。

勤務場所
東京オフィス：東京都渋谷区桜丘町26番1号 セルリアンタワー ※JR渋谷駅から3分
大阪オフィス：大阪府大阪市北区大深町3番1号 グランフロント大阪タワーB 23階 ※JR大阪駅直結

前年実績
https://developers.gmo.jp/38008/","大阪, 東京, 梅田駅, 渋谷","2024年 8月26日(月)〜9月6日(金)

時給 1,500円、交通費支給、社内カフェが無料で利用可","AI, ML, MLOps, データエンジニアリング, データサイエンス, 機械学習",書類選考＞Zoom面談＞内定
募集中,GMOインターネットグループ株式会社,GMO │ テクノロジーインターンシップ：データサイエンスコース,2024/04/19,2024/06/30,インターン,https://recruit.gmo.jp/engineer/jisedai/internship/,,2024年6月29日 11:07,2024年6月29日 11:07,"データサイエンスコース
GMOインターネットグループが提供するサービスの実データなどを使って、データサイエンスで解決したいビジネス課題を想定し、機械学習モデルの選定/実装、実データの前処理、特徴量設計、評価指標策定、学習/評価など、データサイエンス業務のポイントを体験して頂きます。
現場で活躍するデータサイエンティストがチューターとなり、データドリブンな課題解決のプロセスが体験できます。

勤務場所
東京オフィス：東京都渋谷区桜丘町26番1号 セルリアンタワー ※JR渋谷駅から3分
大阪オフィス：大阪府大阪市北区大深町3番1号 グランフロント大阪タワーB 23階 ※JR大阪駅直結

前年実績
https://developers.gmo.jp/38008/","大阪, 東京, 梅田駅, 渋谷","2024年 8月26日(月)〜9月6日(金)

時給 1,500円、交通費支給、社内カフェが無料で利用可","AI, MLOps, データエンジニアリング, データサイエンス, データサイエンティスト, 機械学習",書類選考＞Zoom面談＞内定
終了,合同会社DMM.com,DMMGUILD,2024/03/01,2024/06/28,インターン,https://dmm-corp.com/recruit/intern/engineer/guild/,,2024年6月29日 11:07,2024年6月29日 11:07,"ゲーミング要素があって珍しいインターン
https://inside.dmm.com/articles/2023dmmguild/","リモート, 出社可能性あり, 東京","- 時給1,500円
    - ランク上位者には賞金支給","Android, Web全般, iOS, インフラ",
終了,合同会社DMM.com,就業型インターン,2024/03/01,2024/06/28,インターン,https://dmm-corp.com/recruit/intern/engineer/working/,,2024年6月29日 11:07,2024年6月29日 11:07,"やること幅広い
1人1人に合わせて時期・期間がカスタマイズが可能","リモート, 出社可能性あり, 東京","- 時給1,500円
- 2024年7月～12月の中で2週間〜2ヶ月
    - 学生と企業で期間・時期をすり合わせて決定","Android, Web全般, iOS, インフラ, 機械学習",
終了,合同会社DMM.com,"短期インターン　
～Android～
〜Go〜",2024/03/01,2024/06/14,インターン,https://dmm.snar.jp/jobboard/detail.aspx?id=B4SmZqfFziuQJumYjgzGlA,,2024年6月29日 11:07,2024年6月29日 11:07,"研修ベースなので無給ではあるが、
毎年好評で一通りかけるようになるhttps://inside.dmm.com/articles/internandroidgo/","リモート, 出社可能性あり, 東京","- 無給
- イベント参加の際、交通費・宿泊費支給","Go, Kotlin",
募集中," 株式会社MIXI",Dive into MIXI 2024 夏季（エンジニア）,2024/03/25,2024/08/31,インターン,https://mixi-recruit.snar.jp/jobboard/detail.aspx?id=jOrDvayy37gB77hE3ZxpCg,,2024年6月29日 11:07,2024年6月29日 11:07,"▼インターンシップについて
""コミュニケーション""を事業ドメインとしたMIXIの様々なサービスの中、スタートアップフェーズのサービス、6100万人ユーザーを誇るソーシャルゲーム、2000万人が利用する家族アルバムサービス、現在開発中の新規サービスまで、現場社員とともにサービス開発・業務体験できる就業型長期インターンシップです。

大規模なアプリケーションや、成長過程のプロダクトの開発現場において、実際のチームの一員として業務に携われる絶好の機会です。
短期のブートキャンプ型とは異なる、学生時代にはなかなか経験できない大規模サービスの開発、チーム開発のイロハ、技術力をぜひ吸収してください。
モンスターストライク、家族アルバム みてね、TIPSTAR、MIXIM、Fansta、Romi、 コトダマン、minimo、その他新規開発中サービス　など

▼求めるスキル
完全就業型の環境にて、さらなる成長や挑戦をしたい方のご応募をお待ちしております！
※機械学習やセキュリティ領域など、ご自身が得意とする分野でのご応募も歓迎しております

【必須】
・授業内・外でWebサービスやスマホアプリを作った経験（非公開アプリでも可）
・自発的に周囲とコミュニケーションを取り、前のめりに業務を進めて下さる方
・成長途中のサービスにコミットして、一緒にサービスを創り上げていこうという気持ちを持っていただける方
・gitなどのバージョン管理システムを使ったチーム開発経験

【歓迎】
・企業でのアルバイトやインターンの開発経験
・MySQL、SQLite、PostgreSQL等のデータベースを利用した開発経験
・Docker、Linux、kubernetesなどその他開発に関わってくる技術を使った開発経験
・研究やアルバイトなどでの機械学習経験
・AWS, GCPなどのインフラ構築経験",リモート＋対面出社,"【期間】
基本通年募集
1ヵ月以上から応相談　
※サービスによって異なりますので、面接時に確認させていただきます
※入社日は、毎月1日か16日のいずれかになります
※合格後、入社手続きに3週間ほどお時間をいただきます

【勤務時間】
10:00～19:00（休憩1時間）※作業時間や勤務頻度は相談可能です

【時給】
時給 2,500円","API, AWS, Android, Flutter, GCP, GitHub, Go, JavaScript, Kotlin, MLOps, Next.js, Python, R, React, Ruby on Rails, SQL, Swift, TypeScript, Webフロントエンド, Web全般, iOS, インフラ, バックエンド, モバイル全般, 機械学習",応募（マイページ作成）→エントリーシート選考 → 人事面接 → 現場社員面接 （複数回）→ 参加決定
募集中,株式会社LayerX,株式会社LayerX　LLM領域リサーチエンジニア(実務型インターン・最短1ヶ月〜),2024/01/01,2025/03/31,インターン,https://open.talentio.com/r/1/c/layerx/pages/83317,,2024年6月29日 11:07,2024年6月29日 11:07,フルリモート可能,"リモート可, 対面出社可","時給2,000円〜 (パフォーマンスに応じて変動します)","Python, Webバックエンド, Web全般, アルゴリズム, データ分析, 機械学習, 自然言語処理",
終了,株式会社LayerX,【バクラク】ソフトウェアエンジニア(サマーインターン),2024/03/27,2024/05/31,インターン,https://open.talentio.com/r/1/c/layerx/pages/90757,,2024年6月29日 11:07,2024年6月29日 11:07,"【LayerXサマーインターン１期生を大募集！！！】
LayerXの爆速開発を体感し、実践できるようになろう！
LayerXが初の「2weeks サマーインターンシップ」を開催！！これまでの開発経験を活かしつつ、仲間と共に圧倒的に成長できる熱い夏を過ごそう！
LayerXのトップエンジニアが、『みなさんの圧倒的成長』と『LayerX流のチームでの爆速開発を体感していただく』にフルコミットします！

必要な条件/経験
• 圧倒的熱量！！！
• チームでの開発経験（もしくはそれに準ずる経験）
• 基礎的な技術的理解(Git, HTTP)
• 個人開発もしくは研究・アルバイト等で、「動くモノ」を自分で作った経験
• 日本語にてコミュニケーションが可能なこと / Native-like fluency in Japanese","対面出社, 東京","・200,000円/2週間
・遠方からご参加の方には交通・宿泊費支給となります。","Go, Next.js, TypeScript, Vue.js, Webバックエンド, Webフロントエンド, Web全般, バックエンド",
終了,株式会社LayerX,【26卒エンジニア向け】LayerX Internship Tech LT #2,2024/04/11,2024/04/25,イベント,https://layerx.connpass.com/event/315430/,,2024年6月29日 11:07,2024年6月29日 11:07,"LayerX エンジニアインターンによるLT大会
経験者のLTを聞いて、LX実務インターンの解像度を深めよう！

LayerXのエンジニアインターンたちが、インターンシップ期間中に取り組んだプロジェクトとそこから得た学びを共有するイベントです。 また各インターン生のメンターから「公開フィードバック」も実施予定！
「実務インターン」と言っても、ミッションや取り組む内容は会社ごとに様々かと思います。 このLT会に参加していただくと、「LayerXの実務インターンでは具体的にどんなことに取り組むのか」「どんな学びを得られるのか」の解像度を上げていただくことができます！

【LayerXの開発チームの特徴】
・「バックエンド」「フロントエンド」など役割ごとにチームが分かれているのではなく、プロダクトごとにチームが分かれており各メンバーが横断的に開発を行っている
・自分で考えたことに対してメンターから的確なフィードバックをもらえる
・議論しやすい環境

こういった環境で開発実務に取り組むことで、インターンシップ期間中に大きく成長することができます。 このLT会を通じて、よりリアルなLayerXを知ってもらえたら嬉しいです！
今回はクローズドイベント！実務インターン経験のある方だけが参加可能となります。
※25卒内定者も参加するので、交流会で就活の相談をすることも可能です！

イベント後には、インターンの学生や内定者・LayerXのエンジニアたちとリラックスした雰囲気でわいわい交流しましょう！ 軽食やドリンクをご用意してお待ちしております！",,2024/04/25(木)　19:00 〜 21:30,"Go, React, TypeScript, Vue.js, Webバックエンド, Webフロントエンド, Web全般, バックエンド",
募集中,株式会社LayerX,株式会社LayerX　機械学習エンジニア(実務型インターン・最短1ヶ月〜),2024/01/01,2025/03/31,インターン,https://open.talentio.com/r/1/c/layerx/pages/67728,,2024年6月29日 11:07,2024年6月29日 11:07,フルリモート可能,"リモート可, 対面出社可","時給2,000円〜 (パフォーマンスに応じて変動します)","AI, Go, MLOps, Python, React, TypeScript, データサイエンス, 機械学習, 自然言語処理",
募集中,株式会社LayerX,【バクラク】機械学習エンジニア(新卒採用・サマーインターン),2024/05/09,,インターン,https://open.talentio.com/r/1/c/layerx/pages/92339,,2024年6月29日 11:07,2024年6月29日 11:07,"【LayerXサマーインターン１期生を大募集！！！】

LayerXが初の短期サマーインターンシップを開催します！機械学習エンジニアのコースでは、AI・機械学習技術を活用したバクラクの機能改善に実際に取り組んでいただきます。3週間のインターン期間中は、現役の機械学習エンジニアがメンターとしてみなさんが成果を出すことを全力でサポートいたします！

インターンを通じて、AI・機械学習技術が企業においてどのように活用されているのか、LayerXの機械学習エンジニアがどのように働いているのかを体感いただき、これからの研究活動や就職活動、開発に活かしていただきたいと考えています。

具体的な取り組み内容は、これまでのご経験やご希望を伺いつつ、メンターと相談しつつ決定します。参考までに関連する技術領域を記載します。

技術領域：画像処理、自然言語処理（LLMも含む）、Vison and Language、推薦システム、etc...

これまで授業や研究で扱ってきた機械学習という技術が企業においてどのように活用されているのかを知りたい方も、他の企業で積まれたご経験をLayerXでも活かして活躍したい方も、お待ちしております！

必要な経験：
• 継続的な改善を伴う、機械学習関連の研究または機械学習プロダクトの開発経験","リモート可, リモート＋対面出社, 対面出社"," 2024年8月〜9月ごろ（状況に応じて調整可能）","AI, AWS, Go, Nuxt.js, Python, TypeScript, Vue.js, 機械学習, 自然言語処理",書類選考→技術面接→内定
募集中,株式会社LayerX,株式会社LayerX　ソフトウェアエンジニア(実務型インターン・最短1ヶ月〜),2024/01/01,2025/03/31,インターン,https://open.talentio.com/r/1/c/layerx/pages/52733,,2024年6月29日 11:07,2024年6月29日 11:07,フルリモート可能,"リモート可, 対面出社可","時給2,000円〜 (パフォーマンスに応じて変動します)","Flutter, Go, Next.js, React, TypeScript, Webバックエンド, Webフロントエンド, Web全般, バックエンド",
終了,株式会社リクルート,【選考直結型】RECRUIT INTERNSHIP for Engineers 2024,2024/03/04,2024/04/23,インターン,https://www.recruit.co.jp/employment/students/engineers/event/recruit-internship-for-engineers-2024/?utm_source=msps&utm_medium=media&utm_campaign=2024eris,,2024年6月29日 11:07,2024年6月29日 11:07,"■インターン概要
約1カ月の就業型インターンシップです。
人事・エンジニア社員による手厚いサポートを受けながら、若手社員同等レベルの実務を担当いただきます。
リクルートならではの、社会に与えるインパクトの大きさや手触り感をご体感いただけます。
・第1ターム：2024年8月26日（月）～2024年9月27日 （金）
・第2ターム：2024年10月3日（木）～2024年11月1日 （金）
・第3ターム：2024年11月5日（火）～2024年12月6日（金）

■募集職種
・iOSエンジニア
・Androidエンジニア
・Webフロントエンドエンジニア
・バックエンドエンジニア
・インフラエンジニア
・セキュリティエンジニア

■参加特典
1.参加者の一部の方は採用選考において選考を一部免除
2.PC貸与（全員）
3.一部食事代負担
4.オリジナルノベルティグッズ
5.スキルアップ書籍購入支援（技術書、ビジネス書等）　※上限あり

■併願について
弊社の他インターンシップとの併願も可能です。
就業体験の機会を多くの方に提供するため、弊社の他インターンシップに参加された方は参加をお断りすることがございます。予めご了承ください。","リモート＋対面出社, 東京","時給3,000円上記の報酬以外にも下記の補助があります。
・交通費
・宿泊費（遠方者のみ）

","AWS, Android, Flutter, Go, JavaScript, Python, Webフロントエンド, iOS, インフラ, セキュリティ, バックエンド",
終了,株式会社リクルート,【選考直結型】RECRUIT INTERNSHIP for Data Specialists 2024,2024/03/12,2024/05/09,インターン,https://www.recruit.co.jp/employment/students/engineers/event/recruit-internship-for-data-specialist-2024/?utm_source=msps&utm_medium=media&utm_campaign=2024dsis,,2024年6月29日 11:07,2024年6月29日 11:07,"■インターン実施期間
・第1ターム：2024年7月22日 (月) 〜 2024年8月30日 (金)
・第2ターム：2024年9月2日 (月) 〜 2024年10月4日 (金)
・第3ターム：2024年10月7日 (月) 〜 2024年11月8日 (金)
・第4ターム：2024年11月11日 (月) 〜 2024年12月13日 (金)
・第5ターム：2024年12月16日 (月) 〜 2025年1月24日 (金)

■️募集職種
・データサイエンティスト
・機械学習エンジニア
・データエンジニア
・アナリティクスエンジニア
・ソフトウェアエンジニア（データアプリケーション）

■参加特典
1.参加者の一部の方は採用選考において選考を一部免除
2.PC貸与（全員）
3.一部食事代負担
4.オリジナルノベルティグッズ
5.スキルアップ書籍購入支援（技術書、ビジネス書等）　※上限あり

■️併願について
本インターンシップは、弊社の他インターンシップとの併願も可能です。
就業体験の機会を、より多くの方に提供するため、弊社の他インターンシップに参加された方は参加をお断りすることがございます。予めご了承ください。","リモート＋対面出社, 東京","時給3,000円上記の報酬以外にも下記の補助があります。
・交通費
・宿泊費（遠方者のみ）","BIツール, OSS, Python, R, クラウドサービス, データエンジニアリング, データサイエンス, データ分析, 機械学習",
終了,サイボウズ株式会社,Cybozu Internship2024| バックエンド プラットフォーム(AWS),2024/04/22 10:00 (JST),2024/05/07 10:00 (JST),インターン,https://cybozu.co.jp/company/job/recruitment/intern/backend.html,,2024年6月29日 11:07,2024年6月29日 11:07,"■コース概要
海外向けに提供する「kintone」は、AWS（Amazon Web Service）上のクラウドプラットフォームで提供しています。私たちはkintoneの世界展開に向けて、AWSのクラウドプラットフォームやその上で稼働するバックエンドサービスの開発・運用をしています。私たちの普段の活動についてはhttps://blog.cybozu.io/archive/category/yakumoを参考にしてください。
このコースでは実際にAWSで運用しているプラットフォームをベースに、実際のコードを触りながら一連の開発を体験してもらいます。普段kintoneのプラットフォームを開発・運用しているエンジニアがメンターとしてサポートします。
コースでの取り組みを通じて、AWS上で本番稼働しているサービスの構成や採用技術について知ることができる他、実際に運用しているサービスのモニタリングや大規模インフラのデプロイパイプラインについて知ることができます。

■エントリー概要
必要な経験/スキル
• GitまたはGitHubを使った開発経験
• 初歩的なUNIX/GNU Linuxコマンドの知識
• ネットワークの基礎知識
• Go、Java、Kotlinなど静的言語によるWebアプリケーション開発またはツール開発経験
• コミュニケーションスキル。自分の考えを言語化でき質問に対して応答できる

あると望ましい経験/スキル
• AWSを使った開発経験
• Docker、Kubernetesなどのコンテナに関する知識
• CI/CDパイプラインや自動テストを用いた開発経験",フルリモート,"■実施時期
• 9月9日(月)〜9月13日(金)

■待遇
• 20,000円/日
• ランチ補助","AWS, CI/CD, GitHub, Go, Kotlin, Kubernetes, Webバックエンド","• 書類選考
    ◦ Githubアカウントやポートフォリオ等の提出が必要です
• 面接1回"
終了,サイボウズ株式会社,Cybozu Internship2024| クラウド基盤 プラットフォーム(自社基盤),2024/04/22 10:00 (JST),2024/05/07 10:00 (JST),インターン,https://cybozu.co.jp/company/job/recruitment/intern/platform.html,,2024年6月29日 11:07,2024年6月29日 11:07,"■コース概要
このコースのメンターを担当するCloud Platformチームは、クラウドサービスである http://cybozu.com/ の運用と、自社で開発・運用している新インフラ基盤 Neco へのアプリケーションの移行支援を担当するチームです。

Kubernetesを活用したより信頼性が高く運用負荷の低いクラウドサービスの実現を目指し、アプリケーション開発チームと協力して移行を進めています。 具体的には、アプリケーション開発チームを交えて新しいアーキテクチャを検討したり、必要なミドルウェアやマイクロサービスの開発・運用などを行っています。

プラットフォーム（自社基盤）コースでは、内製している新インフラ基盤におけるサービス運用の自動化や省力化、および今後予想される困難に対する知見の蓄積のため、実際に手を動かして検討・開発を行ってもらう予定です。現在移行を担当するエンジニアがメンターとして指導やレビューを行い、インターンシップにおける取り組みを支援します。

このインターンシップを通じて、Kubernetesとそのエコシステムを活用したアプリケーション開発に取り組むことができる他、大規模なサービスのバックエンドの仕組みを知ったり、信頼性の高さに貢献する実際の運用の現場を見ることができます。

■エントリー概要
必要な経験/スキル
• Go言語を利用したプログラミング経験
• Git/GitHubの使用経験
• Linuxでの基本的なコマンドライン操作

あると望ましい経験/スキル
• Kubernetes を利用した開発・運用経験
• その他、コンピュータ科学全般についての幅広い教養",フルリモート,"■実施時期
• 8月19日(月)〜8月30日(金)

■待遇
• 20,000円/日
• ランチ補助","Go, Kubernetes, Rust, インフラ, ソフトウェア開発, バックエンド, 仮想化","• 書類選考
    ◦ 事前課題の提出が必要です。詳細はhttps://cybozu.co.jp/company/job/recruitment/intern/platform.htmlをご確認ください。
• 面接1回"
終了,サイボウズ株式会社,Cybozu Internship2024| モバイル Android1週間,2024/04/22 10:00 (JST),2024/06/10,インターン,https://cybozu.co.jp/company/job/recruitment/intern/android1.html,,2024年6月29日 11:07,2024年6月29日 11:07,"■コース概要
実際にサイボウズで活動しているモバイルアプリ開発チームの1人として参加し、プロダクト開発を1週間体験していただきます。インターン用に用意した課題ではなく、実際の製品のソースコードに触れて機能開発していただきます。期間中はチーム開発形式で行う予定です。スクラム開発やモブプログラミングなど、普段サイボウズの開発チームが行っている進め方に則って進めていくので、サイボウズのチーム開発の雰囲気を体験することができます。

■エントリー概要
必要な経験/スキル
• Androidネイティブアプリ開発経験
    ◦ 基本的なUIの実装経験
    ◦ 基本的なHTTPの通信処理の理解
• Kotlinでの開発経験
• Gitの基本的な操作

あると望ましい経験/スキル
• Android開発のトレンドのキャッチアップをしている
• https://developer.android.com/topic/architectureに準拠した開発経験がある
• Kotlin Coroutinesによる非同期処理の利用経験がある
• Jetpack ComposeによるGUIアプリケーションを開発した経験がある

主に使っている技術要素
• Jetpack Compose
• Hilt
• Kotlin Coroutines",フルリモート,"■実施時期
• 8月19日(月)〜8月23日(金)

■待遇
• 20,000円/日
• ランチ補助","Android, CI/CD, Kotlin, スクラム","• 書類選考
    ◦ Githubアカウントやポートフォリオ等の提出が必要です
• 面接1回"
終了,サイボウズ株式会社,Cybozu Internship2024| プロダクトデザイナー,2024/04/22 10:00 (JST),2024/06/10,インターン,https://cybozu.co.jp/company/job/recruitment/intern/design.html,,2024年6月29日 11:07,2024年6月29日 11:07,"■コース概要
サイボウズで実際に行われるプロダクトデザインのプロセスを体験できます。ユーザーストーリーを元に改善点を考え、UIに落とし込みフィードバックをもとにさらに改善する一連の流れを行います。現場のプロダクトデザイナーとコミュニケーションしながらUI改善に取り組んでみませんか？

■エントリー概要
必要な経験/スキル
• プロトタイピングスキル
• ユーザーリサーチの興味、経験
• チャレンジ精神

あると望ましい経験/スキル
• サイボウズのプロダクトデザインに興味を持っている
• プロダクトデザイナーとして働くことに興味を持っている
• サイボウズのデザイナー、リサーチャーと話してみたい
• 大学でデザインやリサーチを学んでいる",フルリモート,"■実施時期
各回1週間
• 8月26日(月)〜8月30日(金)
• 9月9日(月)〜9月13日(金)

■待遇
• 15,000円/日
• ランチ補助",,"• 書類選考
    ◦ ポートフォリオの提出が必要です。
      ※ポートフォリオには、ソフトウェアのプロダクトデザインを含んでください。
• 面接1回"
終了,サイボウズ株式会社,Cybozu Internship2024| フロントエンド フロントエンドリアーキテクト,2024/04/22 10:00 (JST),2024/05/07 10:00 (JST),インターン,https://cybozu.co.jp/company/job/recruitment/intern/frontendrearchitect.html,,2024年6月29日 11:07,2024年6月29日 11:07,"■コース概要
このコースでは kintone のフロントエンド刷新プロジェクト（フロリア）を体験していただきます。フロントエンド刷新では下記の 3 点をゴールに活動しています。
• kintone 全てのページが React によって表示されている
• フロントエンドが機能やコンポーネント単位で分割され、それを管理する各チームが独立してライブラリ更新や技術選定を行える状態になっている
• 定常的なユーザー体験に関する指標（Webパフォーマンス、アクセシビリティなど）の計測が行われ、チームの関心事になっている
フロリアについてはhttps://blog.cybozu.io/archive/category/%E3%83%95%E3%83%AD%E3%83%AA%E3%82%A2にて記事が公開されていますので是非ご覧ください。
体験して頂く内容はフロントエンドが中心ですが、フロントエンドの技術以外にもテストを含めた刷新における品質保証、複数チームでのプロジェクトの進め方、アクセシビリティなどについても学べる機会になると考えています。
10年以上サービスを継続している大規模なプロダクトの技術刷新をどのように行なっているのかに興味ある方は是非ご応募お待ちしています！

■エントリー概要
必要な経験/スキル
• ReactやVue、Svelte などを用いたWebフロントエンドの実装経験
• Gitを使ったバージョン管理
• HTML/CSS/JavaScript に対する基本的な理解

あると望ましい経験/スキル
• コンピュータサイエンスの知識(アルゴリズムとデータ構造、セキュリティ、ネットワークなど...)
• アクセシビリティ,パフォーマンスなどに対する知識
• フロントエンドに対するテスト実装経験
• フロントエンドのツールに対する理解
• アルバイトやインターンでの実務経験",フルリモート,"■実施時期
各回1週間
• 8月19日(月)〜8月23日(金)
• 9月9日(月)〜9月13日(金)

■待遇
• 20,000円/日
• ランチ補助","JavaScript, React, TypeScript, Webフロントエンド, スクラム","• 書類選考
    ◦ Githubアカウントやポートフォリオ等の提出が必要です
• 面接1回"
終了,サイボウズ株式会社,Cybozu Internship2024| クラウド基盤 ストレージ,2024/04/22 10:00 (JST),2024/06/10,インターン,https://cybozu.co.jp/company/job/recruitment/intern/storage.html,,2024年6月29日 11:07,2024年6月29日 11:07,"■コース概要
サイボウズは、Kubernetesを使ったインフラシステムを開発・運用中です。このコースでは、Kubernetes上に構築したストレージ基盤に関する業務に取り組んでいただきます。

■エントリー概要
必要な経験/スキル
• Goでプログラムが書ける
• Git,GitHubを利用した開発経験がある
• Linuxの利用経験

あると望ましい経験/スキル
• KubernetesやDockerの利用経験
• 英語の読み書きができる",フルリモート,"■実施時期
• 8月19日(月)〜8月30日(金)

■待遇
• 20,000円/日
• ランチ補助","Ceph, Go, Kubernetes, Rook, インフラ, ストレージ, バックエンド","• 書類選考
    ◦ 事前課題の提出が必要です。詳細はhttps://cybozu.co.jp/company/job/recruitment/intern/storage.htmlをご確認ください。
• 面接1回"
終了,サイボウズ株式会社,Cybozu Internship2024| 生産性向上,2024/04/22 10:00 (JST),2024/06/10,インターン,https://cybozu.co.jp/company/job/recruitment/intern/improvement.html,,2024年6月29日 11:07,2024年6月29日 11:07,"■コース概要
生産性向上コースでは、生産性向上チームの普段の業務である、開発基盤の構築・運用、自動化や効率化の支援を2週間体験できます。 インターン期間中は、生産性向上チームの普段の業務に参加し、社員と一緒にモブプログラミングなどのチーム開発に取り組んでいただきます。
生産性向上チームは主に、次のような業務を行っています。
• 組織を横断した開発基盤の整備
• 開発基盤を活用した改善活動の支援
• 生産性向上技術のキャッチアップ・共有
などなど、一言でいうと「サイボウズのエンジニアがつらいと思っている部分を最高にしていく」ために活動しているチームです！
生産性向上チームの詳細については、以下の記事を参考にしてください。
https://speakerdeck.com/cybozuinsideout/engineering-productivity-team-recruitment-informationを参考にしてください。

■エントリー概要
必要な経験/スキル
• UNIX系OSでのコマンドライン操作
• Git/GitHubの使用経験
• 基本的な開発・プログラミング経験
• 開発者が抱える問題を技術を使って解決することに意欲がある

あると望ましい経験/スキル
• CI/CDツールの使用経験
• テスト自動化の経験
• Dockerなど仮想化技術の経験
• AWSやGCPなどのパブリッククラウドの使用経験
• アプリケーション監視サービスの使用経験",フルリモート,"■実施時期
• 9月2日(月)〜9月13日(金)

■待遇
• 20,000円/日
• ランチ補助","AWS, CI/CD, Cloud, GCP, GitHub, Go, Terraform, TypeScript, クラウドサービス, 課題解決","• 書類選考
    ◦ Githubアカウントやポートフォリオ等の提出が必要です
• 面接1回"
終了,サイボウズ株式会社,Cybozu Internship2024| Webアプリケーション kintone 開発コース,2024/04/22 10:00 (JST),2024/06/10,インターン,https://cybozu.co.jp/company/job/recruitment/intern/kintone.html,,2024年6月29日 11:07,2024年6月29日 11:07,"■コース概要
サイボウズが提供するhttps://kintone.cybozu.co.jp/を題材として、開発チームの実務を体験してもらいます。実際の製品のソースコードに触れて機能開発していただきます。kintoneチームが実践しているプロセスに沿って、モブプログラミングで進める予定です。kintoneチームのエンジニアがメンターとして指導やコードレビューを担当し、大規模なWebサービス開発の現場を体験することができます。

■エントリー概要
必要な経験/スキル
• Webサービス開発の経験
• Git/GitHubの使用経験

あると望ましい経験/スキル
• Java、Reactの開発経験
• kintoneの使用経験",フルリモート,"■実施時期
各回2週間です
• 8月19日(月)〜8月30日(金)
• 9月2日(月)〜9月13日(金)

■待遇
• 20,000円/日
• ランチ補助","Java, JavaScript, React, TypeScript, Webバックエンド, Webフロントエンド, Web全般, スクラム, ソフトウェア開発","• 書類選考
    ◦ Githubアカウントやポートフォリオ等の提出が必要です
• 面接1回"
終了,サイボウズ株式会社,Cybozu Internship2024| モバイル Android2週間,2024/04/22 10:00 (JST),2024/06/10,インターン,https://cybozu.co.jp/company/job/recruitment/intern/android2.html,,2024年6月29日 11:07,2024年6月29日 11:07,"■コース概要
実際にサイボウズで活動しているモバイルアプリ開発チームの1人として参加し、プロダクト開発を２週間体験してもらうコースです。 インターン用に用意した課題ではなく、実際の製品のソースコードに触れて機能開発していただきます。期間中はチーム開発形式で行う予定です。スクラム開発やモブプログラミングなど、普段サイボウズの開発チームが行っている進め方に則って進めていくので、サイボウズのチーム開発の雰囲気を体験することができます。

■エントリー概要
必要な経験/スキル
• Androidのネイティブアプリ開発経験
    ◦ 基本的なUIの実装経験
    ◦ 基本的なHTTPの通信処理の実装経験
• Kotlinでの開発経験
• Gitの基本的な操作

あると望ましい経験/スキル
• Android開発のトレンドのキャッチアップをしている
• https://developer.android.com/topic/architectureに準拠した開発経験がある
• Kotlin Coroutinesによる非同期処理の利用経験がある
• Jetpack ComposeによるGUIアプリケーションを開発した経験がある

主に使っている技術要素
• Jetpack Compose
• Hilt
• Kotlin Coroutines",フルリモート,"■実施時期
• 8月26日(月)〜9月6日(金)

■待遇
• 20,000円/日
• ランチ補助","Android, CI/CD, Kotlin, スクラム","• 書類選考
    ◦ Githubアカウントやポートフォリオ等の提出が必要です
• 面接1回"
